city,city_tier,rent_shared,rent_single,food_month,transport_month,medical_month,social_life_month,base_living_cost_month,avg_commute_minutes,pressure_score,opportunity_score,notes,source_name,source_url,source_date,confidence
北京,一线,2800-3500,5500-6500,1800-2500,300-450,400-600,1200-2000,8500-11500,47,92,95,"互联网总部最密集,房租与通勤压力全国最高;极端通勤(>60min)占28%,超长通勤(>25km)占12%;Numbeo 1BR市中心¥6956,郊区¥3697",贝壳北京/中规院通勤报告/Numbeo,"https://bj.zu.ke.com/,https://m.renrendoc.com/paper/371440811.html,https://www.numbeo.com/cost-of-living/in/Beijing",2024-2025,high
上海,一线,2200-3000,4800-5800,1800-2500,300-400,400-600,1200-2000,8200-11000,40,90,94,"金融与互联网双核,通勤空间半径42公里全国最大;自如《2025上海青年租房趋势报告》:整租月租从5500-6000降至5000-5500,合租稳定2000-2500;Numbeo 1BR市中心¥6363",贝壳上海/自如2025上海报告/中规院,"https://sh.zu.ke.com/,https://news.qq.com/rain/a/20250406A027AT00,https://www.numbeo.com/cost-of-living/in/Shanghai",2024-2025,high
深圳,一线,2000-2800,5000-6000,1700-2400,250-400,350-550,1100-1900,7900-10500,38,86,93,"科技与硬件中心,45分钟通勤比重81%全国最高;城中村供应多导致整租比例高;轨道800米覆盖35%全国第一;Numbeo 1BR市中心¥5009,郊区¥3266",贝壳深圳/中规院/Numbeo,"https://sz.zu.ke.com/,https://m.renrendoc.com/paper/371440811.html,https://www.numbeo.com/cost-of-living/in/Shenzhen",2024-2025,high
广州,一线,1500-2200,3200-4000,1500-2200,200-350,300-500,1000-1700,6500-8800,40,82,87,"一线生活成本最低,房租收入比最友好;超长通勤(>25km)占10%二线最高;2.5km短距离通勤44%超大中最高;Numbeo 1BR市中心¥3611,郊区¥1921",贝壳广州/中规院/Numbeo,"https://gz.zu.ke.com/,https://m.renrendoc.com/paper/371440811.html,https://www.numbeo.com/cost-of-living/in/Guangzhou",2024-2025,high
杭州,新一线,1700-2500,3500-4200,1600-2300,250-400,350-550,1100-1800,7000-9300,38,82,90,"数字经济人才净流入持续领先,互联网岗位集中;轨道覆盖通勤比重29%;人均消费支出55592元超京沪(浙江统计局);Numbeo 1BR市中心¥4172",贝壳杭州/中规院/Numbeo,"https://hz.zu.ke.com/,https://m.renrendoc.com/paper/371440811.html,https://www.numbeo.com/cost-of-living/in/Hangzhou",2024-2025,high
成都,新一线,900-1500,2000-2800,1200-1800,150-300,300-500,900-1500,5000-7000,38,70,82,"连续11年新一线榜首(新一线城市研究所),生活性价比高;轨道800米覆盖通勤34%全国第二;单程通勤38分钟;Numbeo 1BR市中心¥2995,郊区¥1690",贝壳成都/中规院/Numbeo/新一线研究所,"https://cd.zu.ke.com/,https://m.renrendoc.com/paper/371440811.html,https://www.numbeo.com/cost-of-living/in/Chengdu,https://www.163.com/dy/article/K0OQ919905448ZCM.html",2024-2025,high
武汉,新一线,900-1500,2000-2800,1200-1700,150-300,300-500,800-1400,4800-6800,36,72,78,"华中科创中心,光电子与高端制造岗位增长快;轨道覆盖通勤比重33%全国第三;2025春节后租金环比上涨6.73%;Numbeo 1BR市中心¥2325",贝壳武汉/中规院/Numbeo,"https://wh.zu.ke.com/,https://m.renrendoc.com/paper/371440811.html,https://www.numbeo.com/cost-of-living/in/Wuhan",2024-2025,high
西安,新一线,800-1300,1800-2500,1100-1600,150-300,300-500,700-1300,4200-5900,35,65,72,"历史文化名城,航空航天与硬科技岗位聚集;2024中欧班列开行4985列居全国首位;GDP增速与新一线前列;2024年租金同比跌幅较大(贝壳);通勤时耗35分钟(中规院)",贝壳西安/中规院/新一线研究所,"https://xa.zu.ke.com/,https://m.renrendoc.com/paper/371440811.html,https://www.163.com/dy/article/K0OQ919905448ZCM.html",2024-2025,medium
南京,新一线,1300-2000,2800-3500,1300-1800,150-300,300-500,900-1500,5500-7400,38,73,78,"高等教育与软件产业基地,人才粘性高;租金近年承压(保租房冲击);轨道覆盖通勤比重18%;通勤空间半径32公里;Numbeo 1BR市中心¥3464",贝壳南京/中规院/Numbeo,"https://nj.zu.ke.com/,https://m.renrendoc.com/paper/371440811.html,https://www.numbeo.com/cost-of-living/in/Nanjing",2024-2025,high
苏州,新一线,1200-1800,2400-3200,1300-1800,150-300,300-500,800-1400,5000-6800,36,68,80,"制造业与电子信息产业强,人均可支配收入超8万;距离上海近虹吸效应明显;职住分离度3.4公里;轨道覆盖通勤比重20%;Numbeo 1BR市中心¥3035",贝壳苏州/中规院/Numbeo,"https://su.zu.ke.com/,https://m.renrendoc.com/paper/371440811.html,https://www.numbeo.com/cost-of-living/in/Suzhou",2024-2025,high
重庆,新一线,700-1200,1600-2300,1100-1600,120-250,300-500,700-1200,4000-5600,40,68,76,"人口超3000万超大都市,人均消费低于全国均值;餐饮消费增速5.2%全国领先;通勤40分钟(中规院);轨道覆盖比重27%超大城市前列;Numbeo 1BR市中心¥2940",贝壳重庆/中规院/Numbeo,"https://cq.zu.ke.com/,https://m.renrendoc.com/paper/371440811.html,https://www.numbeo.com/cost-of-living/in/Chongqing",2024-2025,high
长沙,二线,800-1300,1800-2500,1000-1500,120-250,300-500,700-1300,4000-5500,36,58,68,"以低房价高幸福感闻名,娱乐产业发达;轨道覆盖通勤比重22%;单程通勤34分钟(中规院);2025.5租金环比下跌(贝壳);通勤空间半径30公里",贝壳长沙/中规院通勤报告,"https://cs.zu.ke.com/,https://m.renrendoc.com/paper/371440811.html",2024-2025,high
厦门,二线,1000-1600,2200-3200,1200-1800,150-300,300-500,800-1400,4600-6400,38,62,60,"海岛型旅游城市,生活成本二线最高;职住分离度2.6公里但同比+0.4公里全国增幅最大;轨道覆盖通勤比重仅14%;Numbeo 1BR市中心¥2338",贝壳厦门/中规院/Numbeo,"https://xm.zu.ke.com/,https://m.renrendoc.com/paper/371440811.html,https://www.numbeo.com/cost-of-living/in/Xiamen",2024-2025,medium
青岛,二线,800-1500,2000-2800,1100-1600,150-300,300-500,700-1300,4300-6100,40,60,63,"北方经济强市,超长通勤人口比重超8%;单程通勤时耗40分钟(中规院);通勤空间半径25-27公里;Numbeo 1BR市中心¥2350",贝壳青岛/中规院/Numbeo,"https://qd.zu.ke.com/,https://m.renrendoc.com/paper/371440811.html,https://www.numbeo.com/cost-of-living/in/Qingdao",2024-2025,medium
济南,二线,800-1300,1900-2400,1000-1500,120-250,300-500,600-1200,3900-5400,33,55,60,"山东省会,数字经济与制造业转型中;通勤时耗33分钟(中规院);通勤空间半径33公里;职住分离度3.9公里;超长通勤改善,极端通勤同比-1pp",贝壳济南/中规院通勤报告,"https://jn.zu.ke.com/,https://m.renrendoc.com/paper/371440811.html",2024-2025,medium
郑州,二线,800-1300,1900-2500,1000-1500,120-250,300-500,600-1200,4000-5600,35,55,65,"中部交通枢纽,人口净流入明显;轨道覆盖通勤19%;轨道800米覆盖通勤比重连续两年未提升;通勤时耗35分钟(中规院);京广/陇海高铁枢纽",贝壳郑州/中规院通勤报告,"https://zz.zu.ke.com/,https://m.renrendoc.com/paper/371440811.html",2024-2025,medium
合肥,二线,900-1400,1800-2500,1100-1500,120-250,300-500,600-1200,3800-5200,34,55,70,"新一线排名从15跃至11位(2025);集成电路+新能源驱动;通勤空间半径26公里;职住分离度3.5公里;Numbeo 1BR市中心¥1640,合肥显著低于同类新一线",贝壳合肥/中规院/Numbeo,"https://hf.zu.ke.com/,https://m.renrendoc.com/paper/371440811.html,https://www.numbeo.com/cost-of-living/in/Hefei",2024-2025,medium
福州,二线,900-1400,1900-2600,1100-1600,150-300,300-500,700-1200,4000-5400,34,55,58,"福建省会,数字经济(数字中国)峰会常驻;轨道覆盖通勤比重24%连续两年快速增长(超厦门10pp);通勤时耗34分钟(中规院);通勤空间半径26公里",贝壳福州/中规院通勤报告,"https://fz.zu.ke.com/,https://m.renrendoc.com/paper/371440811.html",2024-2025,medium
昆明,二线,800-1300,1800-2400,1000-1500,120-250,300-500,600-1200,3700-5100,32,48,55,"云南省会,旅游+气候优势;通勤时耗32分钟(中规院),位列45城最低梯队;通勤空间半径27公里;职住分离度2.7公里;二线中压力最低之一",贝壳昆明/中规院通勤报告,"https://km.zu.ke.com/,https://m.renrendoc.com/paper/371440811.html",2024-2025,medium
东莞,二线,700-1100,1500-2200,1100-1500,120-250,300-500,600-1100,3500-4900,36,55,70,"新一线排名常驻,制造业名城(华为/OPPO/VIVO);超长通勤(>25km)占8%二线第一;通勤时耗36分钟(中规院);通勤空间半径23公里,临深优势明显",贝壳东莞/中规院通勤报告,"https://dg.zu.ke.com/,https://m.renrendoc.com/paper/371440811.html",2024-2025,medium
