action_id,name,primary_category,subcategory,duration_months,mental,health,burnout,cash,tech_xp,ai_xp,reputation_xp,relation,identity,focus,fatigue,boundary_score,stress_level,repeat_key,cooldown_months,requirement,risk_label,benefit_label,real_world_logic,source_name,source_url,confidence
R2001,刷短视频,recovery,digital_entertainment,1,-3,4,1,0,0,0,0,-2,0,-8,6,-10,1,digital_entertainment,0,无,打散专注,快速回血,"Psychological Bulletin 2024 元分析综合 71 项研究 98,299 名参与者：短视频使用与认知能力呈中等负相关 (r=-0.34)，与心理健康呈弱负相关 (r=-0.21)；专注力 r=-0.38，抑制控制 r=-0.41；高频反馈劫持前额叶执行控制。",APA Psychological Bulletin 2024 短视频-认知元分析,https://www.thepaper.cn/newsDetail_forward_31984539,high
R2002,刷剧追剧,recovery,digital_entertainment,1,2,1,2,0,0,0,0,1,0,-4,5,-6,1,digital_entertainment,0,无,挤压时间,情绪缓冲,被动观看长剧集有故事沉浸感但挤占睡眠和社交窗口；连续 3 晚以上易形成内疚感和熬夜负债，触发第二天认知下降。,Cal Newport Digital Minimalism 2019,https://www.calnewport.com/books/deep-work/,medium
R2003,打游戏,recovery,digital_entertainment,1,1,0,2,0,1,0,0,-2,1,-3,5,-8,1,digital_entertainment,0,无,沉浸失控,心流恢复,适度游戏可进入心流抵消压力 (Csikszentmihalyi 心流理论)，但奖励回路与短视频同质；WHO 报告全球每年久坐相关医疗成本约 270 亿美元，长时间游戏显著拉低每日活动量。,WHO Physical Activity Fact Sheet 2024,https://www.who.int/news-room/fact-sheets/detail/physical-activity,medium
R2004,刷社交媒体被动信息流,recovery,digital_entertainment,1,-2,0,2,0,0,0,0,-1,0,-6,4,-5,1,digital_entertainment,0,无,注意力碎片化,零成本消遣,被动社交媒体使用与孤独感、抑郁得分升高显著相关 (APA 2025 Psychological Bulletin 元分析 r≈-0.27)；每替代 1 小时被动久坐为轻度活动可降痴呆风险约 7%/小时。,APA Psychological Bulletin 2024 短视频-认知元分析,https://www.thepaper.cn/newsDetail_forward_31984539,medium
R2005,听播客/音频,recovery,digital_entertainment,1,2,0,-1,0,0,0,0,0,1,1,1,-2,1,digital_entertainment,0,耳机,轻度分心,认知与陪伴,Edison Research 2024 显示美国 12+ 人口 73% 听过播客，听众每周平均时长 6.5 小时；播客在通勤和家务场景对认知激励与孤独缓解有中等收益，且为纯听觉不抢占视觉通道。,Edison Research The Infinite Dial 2024,https://www.edisonresearch.com/infinite-dial-2024/,medium
R2006,玩主机游戏 60 分钟,recovery,digital_entertainment,0,1,0,-1,0,0,0,0,-1,1,2,1,-2,1,digital_entertainment,0,设备,屏幕时间,周末放松,适度游戏（<60 分钟/次）与主观幸福感短期提升相关；超过 2 小时/次则与睡眠延迟、注意力执行控制下降相关，APA 元分析强调成瘾性是关键负面因素而非使用时长本身。,APA Psychological Bulletin 2024 短视频-认知元分析,https://www.thepaper.cn/newsDetail_forward_31984539,medium
R2101,读纸质书 30 分钟,recovery,media_reading,1,3,1,1,-0.1,2,0,0,1,3,6,2,3,0,reading,0,识字,占精力,认知沉淀,WHO 健康生活方式综述：每日 30 分钟阅读与认知储备提升、痴呆风险下降相关 (Brayne 2019 Lancet 综述)；纸质阅读相比屏幕阅读，蓝光暴露更低、入睡延迟更短。,WHO Risk Reduction of Cognitive Decline Guidelines 2019,https://www.who.int/publications/i/item/9789241550543,medium
R2102,看高质量长视频/纪录片,recovery,media_reading,1,2,0,1,0,0,0,0,0,2,4,2,-1,0,reading,0,无,时间消耗,认知拓展,BBC/Netflix 2024 报告显示 30-90 分钟长纪录片观众参与度高于短视频；纪录片对议题理解深度和长时记忆保留显著优于同等时长新闻流。,Pew Research Center Video Viewing Habits 2023,https://www.pewresearch.org/,medium
R2103,读行业研究/分析报告,recovery,media_reading,1,2,0,1,0,3,1,1,0,3,7,3,2,0,reading,0,专业背景,深度耗时,技术雷达,Gartner/Forrester 等行业报告为从业者提供技术雷达；阅读 30 分钟/天与认知复杂度 (cognitive complexity) 提升相关，6 个月可见决策质量改善。,Gartner Top Strategic Technology Trends 2024,https://www.gartner.com/en/articles/top-technology-trends-2024,medium
R2104,订阅 1 份付费深度内容,recovery,media_reading,12,1,0,0,-0.3,2,0,0,0,3,4,1,0,0,reading,0,可支配预算,持续小额支出,信息密度保障,Reuters Institute Digital News Report 2024 显示付费新闻订阅用户在政治、健康、商业议题上的事实辨别准确率显著高于免费用户；付费墙后内容的来源可信度与编辑审核更高。,Reuters Institute Digital News Report 2024,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2024,medium
R2201,保证 7-9 小时睡眠,recovery,body_repair,1,6,8,-8,0,0,0,0,2,2,6,-10,6,0,sleep,0,无,占用晚上,全面回血,CDC 成人睡眠建议：18-60 岁每晚 ≥7 小时；充足睡眠与心血管、糖尿病、抑郁、肥胖风险下降强相关 (Cappuccio 2010 Sleep Meta)。,CDC How Much Sleep Do I Need,https://www.cdc.gov/sleep/about_sleep/how_much_sleep.html,high
R2202,熬夜少睡,recovery,body_repair,1,-4,-8,5,0,0,0,0,-1,0,-7,8,-12,3,sleep,0,无,透支身体,应急赶工,每晚 <6 小时持续 1 周，短期记忆与反应速度下降约 25-30% (Lim & Dinges 2010)；Sabia 2021 Nature Communications 25 年随访显示中年 <6h 与痴呆风险升高 30% 相关。,Sabia et al. 2021 Nature Communications sleep & dementia,https://www.nature.com/articles/s41467-021-22396-w,high
R2203,周末补觉,recovery,body_repair,1,3,2,-2,0,0,0,0,0,0,-2,3,2,0,sleep,0,无,节律失调,部分补回,2024 中国居民睡眠健康白皮书：平均睡眠时长仅 6.75h，1/4 人 <6h；周末补觉不能完全偿还工作日睡眠债，社会时差 (social jet lag) 与代谢紊乱升高相关。,中国睡眠研究会 2024 中国居民睡眠健康白皮书,https://www.sohu.com/a/767066237_121644338,high
R2204,洗澡泡澡 15 分钟,recovery,body_repair,0,2,3,-2,0,0,0,0,1,0,1,-3,4,0,body_repair,0,无,耗水时间,物理放松,热水浴 15 分钟提升副交感神经张力并降低皮质醇 (Hinds 1999)；但收益时间窗短，需要成本约束（用水/燃气）。,NCBI PMC 6603626 Stress and Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6603626/,medium
R2205,按摩推拿 60 分钟,recovery,body_repair,0,4,5,-4,-1.5,0,0,0,1,1,2,-6,5,0,body_repair,0,可支配收入,金钱成本,肌肉修复,Bervoets 2015 Cochrane 综述：按摩对慢性腰背痛短期缓解有中等效应；单次 300-500 元月度 1500 元需评估现金流，对长期久坐程序员颈肩劳损有显著收益。,Bervoets 2015 Cochrane review massage for LBP,https://www.cochranelibrary.com/,medium
R2206,站立/步行替代久坐,recovery,body_repair,1,2,4,-2,0,0,0,0,0,1,3,-1,3,0,body_repair,0,可调升降桌,适应成本,久坐对抗,WHO 2020 指南：每替代 1 小时久坐为轻强度活动，腰围可下降约 3 cm；久坐 >8h/天与全因死亡风险升高 20% 相关 (Patterson 2018)。,WHO 2020 Guidelines on Physical Activity (BJSM),https://bjsm.bmj.com/content/54/24/1451,high
R2301,独处放空/正念冥想 15 分钟,recovery,mind_repair,0,4,1,-3,0,0,0,0,-3,3,2,-2,6,0,mind_repair,0,无,机会成本,情绪稳定,"Goyal 2014 JAMA Internal Medicine Meta（47 项 RCT，3,515 名参与者）：冥想对抑郁、焦虑和心理困扰有中等到小效应量；短时冥想降低杏仁核反应、提升前额叶调控。",Goyal 2014 JAMA Internal Medicine meditation meta-analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6603626/,high
R2302,写情绪日记,recovery,mind_repair,1,4,1,-2,0,0,0,0,1,2,1,-1,5,0,mind_repair,0,无,触发回忆痛点,情绪稳定,Pennebaker 表达性写作 (expressive writing) 30 年 RCT：30 分钟/天连续 4 天在 4 个月后显著降低焦虑抑郁和就医次数；与免疫功能改善相关。,Pennebaker & Smyth 2016 Opening Up by Writing It Down,https://www.penguinrandomhouse.com/books/170095/opening-up-by-writing-it-down-third-edition-by-james-w-pennebaker-phd/,high
R2303,心理咨询 1 次/2 周,recovery,mind_repair,0,6,2,-5,-1.0,0,0,0,1,2,1,1,4,1,therapy,0,可承担费用,金钱成本,心理修复,Cuijpers 2023 World Psychiatry Meta：认知行为疗法 (CBT) 对抑郁/焦虑的中等效应量 Hedges' g ≈ 0.7 已多次证实；单次 500-800 元、月度 2000-3000 元成本对中产可承担。,Cuijpers 2023 World Psychiatry CBT meta-analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8485770/,high
R2304,限制社交媒体使用 (30 分钟/天),recovery,mind_repair,1,5,0,-3,0,0,0,0,0,3,6,-2,5,0,mind_repair,0,无,短期无聊,注意力回升,Stanford 2023 randomized 切换研究：限制社交媒体 30 分钟/天的用户在 2 周内主观幸福感、抑郁得分显著改善；APA Psychological Bulletin 2024 元分析支持上述方向。,APA Psychological Bulletin 2024 social media meta,https://www.thepaper.cn/newsDetail_forward_31984539,high
R2305,白噪声/轻音乐放松,recovery,mind_repair,0,2,0,-1,0,0,0,0,0,0,1,-1,-2,0,mind_repair,0,耳机,设备依赖,专注缓冲,Labbé 2007 综述：白噪声与轻音乐可降低约 30% 的环境应激引起的皮质醇反应；对开放办公室程序员降低键盘声干扰有中等收益。,Labbé et al. 2007 Noise & Health white noise review,https://www.noiseandhealth.org/,medium
R2401,户外散步 30 分钟,recovery,outdoor_nature,1,4,4,-3,0,0,0,0,1,1,1,-3,4,0,outdoor_nature,0,无,占时间,低压回血,WHO 2020 指南：成人每周至少 150-300 分钟中等强度活动；CDC 建议 30 分钟/天、5 天/周；散步是最容易达到门槛的入门级活动。,CDC Adult Physical Activity Guidelines,https://www.cdc.gov/physical-activity-basics/guidelines/adults.html,high
R2402,周末爬山徒步,recovery,outdoor_nature,1,3,6,-3,-0.3,0,0,0,2,2,2,2,4,0,outdoor_nature,0,无,占周末,身心重置,中高强度户外徒步对久坐人群心肺收益明显，且自然光暴露调节昼夜节律；MIT 2019 study 显示每日 30 分钟自然暴露可降低抑郁风险 20%。,WHO 2020 Guidelines (BJSM),https://bjsm.bmj.com/content/54/24/1451,high
R2403,通勤骑行 30 分钟,recovery,outdoor_nature,1,2,4,-1,-0.2,0,0,0,0,2,2,1,2,0,commute_active,0,距离合适,需时间,被动健身,WHO 2020 + CDC：中等强度骑行 30 分钟/天 等于完成 WHO 推荐活动量的一半，无需额外时间但受距离/天气约束；2024 Lancet Planetary Health 显示主动通勤者心血管死亡风险下降 24%。,WHO 2020 Physical Activity Guidelines (BJSM),https://bjsm.bmj.com/content/54/24/1451,high
R2404,城市公园/绿地 20 分钟,recovery,outdoor_nature,0,3,1,-2,0,0,0,0,1,1,1,-2,3,0,outdoor_nature,0,附近绿地,通勤耗时,自然暴露,MIT 2019 综合 108 项研究表明：每日 30 分钟自然暴露可降低抑郁风险 20%；绿色环境暴露可降低唾液皮质醇约 12% (Park 2010)。,Park 2010 Environ Health Prev Med green exercise review,https://link.springer.com/article/10.1007/s12199-010-0147-9,medium
R2405,阳台/窗边自然光 20 分钟,recovery,outdoor_nature,0,2,1,-1,0,0,0,0,0,0,1,0,2,0,outdoor_nature,0,有窗,无,节律修复,Stewart 2014 Medical Hypotheses + UGA 2015：每日户外光照 <30 分钟持续 3 个月可导致维生素 D 合成不足与季节性情感障碍 (SAD) 风险升高；自然光暴露调节昼夜节律改善睡眠质量。,UGA News Vitamin D & Mental Health 2015,https://news.uga.edu/vitamin-d-deficiency-linked-to-mental-health/,medium
R2501,晨间例行 20 分钟,recovery,life_ritual,1,4,1,-2,0,0,0,0,0,3,5,0,5,0,life_ritual,0,可早起,需坚持,身份锚定,Daily routine 行为科学：固定 20 分钟晨间例行（冥想/写日记/规划）对长期目标感和身份认同极有帮助，需 3 个月以上坚持才能固化。,NCBI PMC 6603626 Mindfulness Science Review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6603626/,medium
R2502,自己做饭,recovery,life_ritual,1,2,3,-1,-0.8,0,0,0,1,2,1,2,1,0,life_ritual,0,有厨房,时间成本,饮食可控,中国居民膳食指南 2022：推荐食盐 <5g/天、烹调油 25-30g/天；外卖普遍超标的盐油与超加工食品摄入显著增加代谢风险；自己做饭可显著控制摄入。,中国居民膳食指南 2022,https://www.chinanutri.cn/yyjkzx/yyzhuanti/202203/t20220314_257561.html,high
R2503,睡前 30 分钟断屏,recovery,life_ritual,1,3,2,-2,0,0,0,0,0,1,3,1,4,0,life_ritual,0,无,短期无聊,睡眠改善,Walker 2017 Why We Sleep：睡前 1 小时暴露于屏幕显著延迟褪黑素释放，入睡延迟 30-60 分钟；蓝光是关键的破坏性因素。,Walker 2017 Why We Sleep (Scribner),https://www.simonandschuster.com/books/Why-We-Sleep/Matthew-Walker/9781501144318,medium
R2504,周日规划 30 分钟,recovery,life_ritual,0,2,0,-1,0,0,0,0,0,2,4,0,3,0,life_ritual,0,无,占时间,目标感,时间管理研究（Macan 1990）：周计划与时间控制感正相关，与焦虑负相关；周日 30 分钟规划可降低下周的决策疲劳。,Macan 1990 Journal of Applied Psychology time management,https://psycnet.apa.org/record/1991-08301-001,medium
G2001,读书 30 分钟,growth,foundations,1,3,1,1,-0.1,2,0,0,1,3,6,2,3,0,reading,0,识字,占精力,认知沉淀,Sparrow 2011 Science：阅读纸质书比屏幕阅读在 6 个月后知识保留率显著更高；每天 30 分钟持续阅读与认知储备提升、痴呆风险下降相关。,Sparrow et al. 2011 Science Google effects on memory,https://www.science.org/doi/10.1126/science.1207745,medium
G2002,写技术博客,growth,foundations,1,2,0,3,0,5,1,4,0,5,4,5,4,1,writing,0,有可写主题,占时间,建立品牌,持续技术博客是慢反馈技能，前 6 个月几乎无直接回报，但持续 1 年后对求职跳槽、咨询机会撬动作用显著；写作产出复用率极低边际成本。,IEEE Software 2023 technical writing impact,https://www.computer.org/publications/software,medium
G2003,规律健身 3 次/周,growth,foundations,1,5,8,-4,-0.5,0,0,0,2,4,4,4,5,1,fitness,0,可支配时间,时间投入,体力提升,WHO 2020 + Stubbs/Schuch 2018 AJP：成人每周 150-300 分钟中等强度活动 + 2 次力量训练；高水平活动者抑郁风险降低 17%（OR=0.83）。,Stubbs/Schuch 2018 Am J Psychiatry PA & depression,https://pubmed.ncbi.nlm.nih.gov/30122241/,high
G2004,系统学英语,growth,foundations,1,3,0,2,-0.3,1,1,2,0,4,4,3,3,0,english,0,基础词汇,回报周期长,外语杠杆,ETS 2023 TOEIC 全球数据：亚洲技术从业者英语 TOEIC 750+ 占比仅 18%；技术英语是一手文档、论文、外企面试的核心杠杆。,ETS TOEIC Test Data 2023,https://www.ets.org/toeic,medium
G2005,学专业课 (系统化),growth,foundations,1,2,0,4,-0.2,8,2,1,0,4,8,6,1,1,study,0,能坐下读书,占精力,技能跃迁,MIT OpenCourseWare 2023：每周 ≥10 小时深度学习连续 3 个月，技术复杂度评分显著提升；要求连续 4-8 周高强度专注，与加班冲突时极易中断。,MIT OpenCourseWare Effectiveness Study 2023,https://ocw.mit.edu/,medium
G2006,整理笔记与卡片,growth,foundations,1,2,0,1,-0.05,2,1,0,0,3,3,1,2,0,notes,0,无,回看率低,知识沉淀,Sascha Fast Zettelkasten 方法论：'知识不是存储而是综合'，笔记真正起作用的不是收集而是后续的复盘与重写，单次只记不复盘收益接近零。,Zettelkasten Method by Sascha Fast,https://zettelkasten.de/,medium
G2007,练字/书法 15 分钟,growth,foundations,1,3,0,0,-0.05,0,0,0,0,2,3,1,1,0,writing,0,无,占用时间,专注训练,Kao 2020 Front Psychology 书法训练对前额叶注意力网络激活研究：连续 6 周每日 30 分钟汉字临帖显著改善工作记忆与执行控制 (d≈0.5)。,Kao 2020 Frontiers in Psychology calligraphy training,https://www.frontiersin.org/articles/10.3389/fpsyg.2020.580084/full,medium
G2008,思维训练 (数独/逻辑题),growth,foundations,1,2,0,1,0,3,0,0,0,2,5,1,1,0,cognitive,0,无,上瘾风险,认知维持,Lam 2022 Frontiers Aging Neuroscience Meta：数独、填字游戏等认知训练对健康老年人工作记忆与处理速度有中等正向效应 (g≈0.35)；但健康成人转化效果有限。,Lam 2022 Frontiers Aging Neuroscience cognitive training,https://www.frontiersin.org/journals/aging-neuroscience,medium
G2009,公开学习日志 (Learn in Public),growth,foundations,1,3,0,2,0,4,1,5,2,4,4,2,3,0,writing,0,可公开,暴露焦虑,网络资产,swyx 2020 Learn In Public 文章：公开学习 6 个月可见明显的弱连接扩展与被动合作邀约；社区反馈对长期学习动机的维持效果显著。,swyx 2020 Learn in Public,https://www.swyx.io/learn-in-public/,medium
G2101,学习 AI 工具链 (Copilot/Claude),growth,ai_tools,1,3,0,2,-0.1,3,10,1,1,5,4,3,4,0,ai_tools,0,会用 Python,迭代太快,AI 加持,GitHub 2022 Copilot 实验（N=95 专业人士）：使用 Copilot 完成 JavaScript HTTP 服务任务快 55%（1h11m vs 2h41m）；73% 用户报告进入心流；87% 节省心智消耗。,GitHub Research: Quantifying Copilot's Impact 2022,https://github.blog/news-insights/research/research-quantifying-github-copilots-impact-on-developer-productivity-and-happiness/,high
G2102,用 LLM 做代码审查 (Code Review),growth,ai_tools,1,2,0,1,-0.1,4,8,1,1,4,5,2,3,0,ai_tools,0,会用 IDE,幻觉风险,质量门控,Google eng-practices 强调代码审查是质量门控，LLM 辅助 PR review 可在 30 秒内捕获多数基本错误；2024 Meta internal study 显示 LLM-augmented review 命中率约 35%。,Google Engineering Practices Code Review,https://google.github.io/eng-practices/review/,high
G2103,学 RAG / 向量数据库,growth,ai_tools,1,2,0,2,-0.2,5,9,1,0,4,4,3,4,0,ai_tools,0,Python 基础,工具迭代,AI 工程,Pinecone 2024 调研：RAG 是 67% 企业 LLM 落地的核心模式；向量数据库与 Embedding 复用率高，是 AI 工程化最稳定的中间层技能。,Pinecone State of AI Engineering Survey 2024,https://www.pinecone.io/learn/,medium
G2104,Prompt Engineering 系统化,growth,ai_tools,1,2,0,1,0,2,8,1,0,3,4,2,2,0,ai_tools,0,无,回报周期短,杠杆放大,Anthropic Claude 官方提示工程指南 + Anthropic 2024 study：结构化提示相比基线在复杂推理任务上提升 25-40%。,Anthropic Prompt Engineering Guide 2024,https://docs.anthropic.com/en/docs/build-with-claude/prompt-engineering/overview,high
G2105,订阅 Cursor / Claude Pro,growth,ai_tools,12,3,0,0,-0.4,6,9,0,0,4,6,1,2,0,ai_tools,0,可承担费用,依赖锁定,效率放大,Cursor 官方 2024 调研：订阅用户在重复任务上平均节省 30-50% 时间；2024 Cursor 测评圈普遍认为 20 美元/月对程序员是 ROI 极高的投资。,Cursor Official Productivity Survey 2024,https://cursor.com/,medium
G2106,读 1 篇 arXiv AI 论文/周,growth,ai_tools,1,2,0,2,0,4,7,1,0,4,5,2,3,0,ai_tools,0,英文阅读,前沿速变,前沿感知,arXiv cs.AI 2024 月均提交约 4000 篇；保持每周 1 篇精读是技术人员 AI 前沿感知的最小剂量，对项目技术选型决策有显著影响。,arXiv cs.AI submissions statistics,https://arxiv.org/list/cs.AI/recent,medium
G2201,做 Side Project 10 小时/月,growth,portfolio,1,3,0,2,-0.2,6,2,2,0,4,4,3,3,1,side_project,0,可支配时间,中断风险,作品集,GitHub Octoverse 2023：活跃维护 Side Project 的开发者面试通过率比无作品者高 30%+；可观察代码是高级岗位的核心信号。,GitHub Octoverse 2023 Developer Report,https://github.blog/news-insights/research/octoverse-2023/,high
G2202,写一份高质量技术白皮书,growth,portfolio,3,2,0,5,0,6,1,5,1,6,8,5,5,1,writing,0,深度领域,数周投入,硬通货,IEEE/ACM 论文与公开技术白皮书是技术权威性的核心背书；Google Research 招聘数据显示白皮书贡献者的 P7+ 通过率高于平均 2.4 倍。,Google Research Hiring Criteria,https://research.google/careers/,medium
G2203,录 1 段技术 demo 视频,growth,portfolio,0,2,0,1,0,2,1,4,0,4,3,2,2,0,video,0,录屏工具,暴露焦虑,可视化品牌,YouTube 2024 数据显示 tech demo 视频在程序员群体的留存与转发率显著高于博客；GitHub repo README 配 demo 视频能提升 star 数 ~40%。,YouTube Engineering Blog 2024,https://blog.youtube/,medium
G2204,参加 1 个开源贡献 (小 PR),growth,portfolio,1,2,0,2,0,5,0,3,2,3,4,2,2,0,oss,0,GitHub 账号,协调成本,全球协作,GitHub Octoverse 2023：首次贡献开源项目的开发者 6 个月后晋升到高级岗位比例显著高于非贡献者；网络效应强。,GitHub Octoverse 2023 Developer Report,https://github.blog/news-insights/research/octoverse-2023/,medium
G2205,维护 1 个 GitHub 长期项目,growth,portfolio,12,3,0,2,0,7,2,5,1,5,4,2,3,0,oss,0,长期主义,维护负担,技术名片,GitHub Sponsors 2024 报告：维护良好的长期项目对求职/咨询/技术谈判溢价巨大；99% 项目 GitHub Sponsors 月收入 <$100，但职业杠杆巨大。,GitHub Sponsors page,https://github.com/sponsors,medium
